"class","family","n"
"Aves","Accipitridae",31
"Aves","Anatidae",256
"Aves","Ardeidae",377
"Aves","Burhinidae",38
"Aves","Caprimulgidae",7
"Aves","Cardinalidae",1
"Aves","Cathartidae",97
"Aves","Charadriidae",298
"Aves","Ciconiidae",3
"Aves","Coerebidae",1
"Aves","Columbidae",218
"Aves","Cuculidae",63
"Aves","Emberizidae",12
"Aves","Falconidae",60
"Aves","Fringillidae",113
"Aves","Furnariidae",12
"Aves","Haematopodidae",87
"Aves","Hirundinidae",114
"Aves","Hydrobatidae",4
"Aves","Icteridae",57
"Aves","Laridae",755
"Aves","Mimidae",27
"Aves","Motacillidae",21
"Aves","Pandionidae",1
"Aves","Passeridae",114
"Aves","Pelecanidae",108
"Aves","Pelecanoididae",1
"Aves","Phalacrocoracidae",238
"Aves","Phoenicopteridae",5
"Aves","Podicipedidae",37
"Aves","Procellariidae",5
"Aves","Psittacidae",17
"Aves","Rallidae",109
"Aves","Recurvirostridae",135
"Aves","Scolopacidae",760
"Aves","Spheniscidae",29
"Aves","Stercorariidae",1
"Aves","Strigidae",8
"Aves","Sulidae",123
"Aves","Thinocoridae",3
"Aves","Thraupidae",137
"Aves","Threskiornithidae",101
"Aves","Trochilidae",27
"Aves","Troglodytidae",21
"Aves","Tyrannidae",110
"Insecta","Chrysomelidae",8
"Mammalia","Otariidae",1
